"","country","year","forest_area_sq_km_ag_lnd_frst_k2","co2_emissions_kg_per_2015_us_of_gdp_en_atm_co2e_kd_gd","net_migration_sm_pop_netm","population_density_people_per_sq_km_of_land_area_en_pop_dnst","ict_goods_exports_percent_of_total_goods_exports_tx_val_ictg_zs_un","multidimensional_poverty_index_scale_0_1_si_pov_mdim_xq","gdp_per_capita_constant_2015_us_ny_gdp_pcap_kd","gdp_growth_annual_percent_ny_gdp_mktp_kd_zg","gdp_constant_2015_us_ny_gdp_mktp_kd","human_capital_index_hci_scale_0_1_hd_hci_ovrl","mobile_cellular_subscriptions_it_cel_sets","secure_internet_servers_it_net_secr","individuals_using_the_internet_percent_of_population_it_net_user_zs","arable_land_hectares_per_person_ag_lnd_arbl_ha_pc"
"1","American Samoa",2010,174.3,NA,-1475,274.245,NA,NA,12532.3111237111,0.299850074962521,687384732.824428,NA,NA,3,NA,0.0156794107458659
"2","American Samoa",2011,174,NA,-1509,271.55,NA,NA,12656.6881389142,0,687384732.824428,NA,NA,1,NA,0.0160191493279322
"3","American Samoa",2012,173.7,NA,-1538,268.455,NA,NA,12247.6352882148,-4.33482810164425,657587786.259542,NA,NA,1,NA,0.0163900839991805
"4","American Samoa",2013,173.4,NA,-1575,264.975,NA,NA,12098.2751505435,-2.5,641148091.603054,NA,NA,0,NA,0.0167940371733182
"5","American Samoa",2014,173.1,NA,-1602,261.085,NA,NA,12494.9802110307,1.76282051282051,652450381.679389,NA,NA,24,NA,0.0172357661298045
"6","American Samoa",2015,172.8,NA,-1629,256.84,NA,NA,13101.5418159165,3.14960629921259,6.73e+08,NA,NA,1,NA,0.0177153091418782
"7","American Samoa",2016,172.5,NA,-1641,252.24,NA,NA,13116.4309769201,-1.67938931297709,661697709.923664,NA,NA,10,NA,0.0182366000634317
"8","American Samoa",2017,172.2,NA,-1652,247.315,NA,NA,12442.8576653719,-6.98757763975155,615461068.70229,NA,NA,55,NA,0.018801932757819
"9","American Samoa",2018,171.9,NA,-1652,242.12,NA,NA,13049.3301536176,2.6711185308848,631900763.358779,NA,NA,25,NA,0.0194118618866678
"10","American Samoa",2019,171.6,NA,-1650,236.605,NA,NA,13288.3565565116,-0.487804878048777,628818320.610687,NA,NA,19,NA,0.0200756535153526
"11","American Samoa",2020,171.3,NA,-1636,230.945,NA,NA,14303.6270325756,5.06535947712419,660670229.007634,NA,NA,12,NA,0.0207841693909805
"12","Angola",2010,721580,0.326067183009353,90016,18.7408237747654,NA,NA,2992.99292481041,4.398375937818,69928840398.9615,NA,9403365,30,2.8,0.179762315698151
"13","Angola",2011,716029.38,0.329834897660265,94709,19.4586596615064,NA,NA,2982.66523053463,3.47205314798103,72356806903.3803,NA,12073218,45,4.7,0.193741642057699
"14","Angola",2012,710478.76,0.303905379604755,96056,20.2039720863079,NA,NA,3118.02018277884,8.54210707584141,78537602825.7269,NA,12785109,80,7.7,0.186594628964918
"15","Angola",2013,704928.14,0.327054231731941,91528,20.9729702414374,NA,NA,3152.51580772684,4.95461303112738,82428837129.6654,NA,13285198,119,13,0.185298490434965
"16","Angola",2014,699377.52,0.342698188650863,84532,21.7601163070506,NA,NA,3185.00970610559,4.82255926962156,86404016655.5033,NA,14052558,160,21.4,0.184677741212077
"17","Angola",2015,693826.9,0.362865786133063,74170,22.5617397930537,0.024026653,0.264,3100.83068530533,0.943571561325001,87219300384.5072,NA,13884532,227,22,0.18220459453505
"18","Angola",2016,688276.2,0.347429285504554,91623,23.385534611374,0.0306570298,NA,2914.41213130922,-2.5801112218828,84968945427.6388,NA,13001124,240,23.2,0.183400671712249
"19","Angola",2017,682725.7,0.295422486840164,77733,24.2308719018208,0.0183903821,NA,2808.59871467039,-0.147149825449205,84843913772.756,0.361,13323952,322,26,0.177167926990925
